Level,MapID,      X, Y,World,Answers,ValidWords
1,1,118,658,the,he|the|,he|the|
2,1,245,615,and,an|ad|and|,an|ad|and|
3,1,403,558,for,of|or|for|,of|or|for|
4,1,486,487,say,as|say|,as|say|
5,1,549,435,but,but|tub|,but|tub|
6,1,652,487,fog,of|go|fog|,of|go|fog|
7,2,202,364,low,ow|low|owl|,ow|low|owl|
8,2,166,464,opt,to|opt|pot|top|,to|opt|pot|top|
9,2,274,632,arm,arm|ram|mar|,arm|ram|mar|
10,2,234,808,ash,as|ash|has|,as|ah|ha|sh|ash|has|
11,2,340,724,rod,or|do|rod|,or|do|rod|
12,2,572,716,pat,at|pat|apt|tap|,at|pat|apt|tap|
13,2,652,640,are,are|ear|era|,are|ear|era|
14,3,182,846,new,we|new|wen|,we|new|wen|
15,3,179,738,can,an|can|,an|can|
16,3,203,664,our,or|our|,or|our|
17,3,177,573,one,on|no|one|eon|,on|no|one|eon|
18,3,151,480,may,am|my|ya|may|yam|,am|my|ya|may|yam|
19,3,360,385,out,to|out|,to|out|
20,3,466,432,sue,us|use|sue|,us|use|sue|
21,3,571,479,who,ow|who|how|,ow|who|how|
22,3,592,671,she,he|she|,he|she|
23,3,550,767,sex,ex|sex|,ex|sex|
24,3,594,847,map,am|pm|map|amp|,am|pm|map|amp|
25,4,234,639,way,way|yaw|,way|yaw|
26,4,118,766,own,on|no|own|won|now|,on|no|own|won|now|
27,4,279,792,den,end|den|,end|den|
28,4,444,759,him,hi|him|,hi|him|
29,4,580,731,law,law|awl|,law|awl|
30,4,634,589,men,me|men|,me|men|
31,4,547,588,hot,to|hot|,to|hot|
32,4,431,578,tax,at|tax|,at|tax|
33,4,446,510,got,go|to|got|tog|,go|to|got|tog|
34,4,539,396,let,let|tel|,let|tel|
35,4,630,456,cat,at|act|cat|,at|act|cat|
36,5,578,866,cot,to|cot|,to|cot|
37,5,560,797,pay,ya|pay|yap|,ya|pay|yap|
38,5,419,713,sun,us|sun|,us|sun|
39,5,348,666,ten,net|ten|,net|ten|
40,5,274,626,god,go|do|god|dog|,go|do|god|dog|
41,5,92,464,ask,as|ask|ska|,as|ask|ska|
42,5,172,347,mar,am|mar|arm|ram|,am|mar|arm|ram|
43,5,277,473,ago,go|ago|,go|ago|
44,5,317,560,bad,ad|bad|dab|,ad|bad|dab|
45,6,583,501,bit,it|bit|,it|bit|
46,6,558,777,into,in|it|no|on|to|nit|tin|ion|not|ton|into|,in|it|no|on|to|nit|tin|ion|not|ton|into|
47,6,526,847,your,or|you|our|your|,or|you|our|your|
48,6,445,826,than,at|an|hat|tan|ant|than|,at|ha|ah|an|hat|tan|ant|than|
49,6,328,852,like,ilk|lie|lei|like|,ilk|lie|lei|elk|like|
50,6,219,818,then,he|the|ten|net|hen|then|,he|eh|the|ten|net|hen|then|
51,6,121,823,more,me|or|rem|ore|roe|more|,me|or|rem|ore|roe|more|
52,6,171,758,want,an|at|wan|ant|tan|want|,an|at|wan|ant|tan|want|
53,6,341,674,find,if|in|fin|din|find|,if|in|fin|din|find|
54,6,593,385,give,veg|vie|give|,veg|vie|give|
55,7,246,1022,many,am|my|an|man|may|yam|any|many|,am|my|an|man|may|yam|any|nay|many|
56,7,362,970,good,go|do|god|dog|good|,go|do|god|dog|good|
57,7,230,636,life,if|lie|lei|elf|life|file|,if|lie|lei|elf|life|file|
58,7,172,470,down,do|ow|on|no|don|nod|own|won|now|down|,do|ow|on|no|don|nod|own|won|now|down|
59,7,238,406,over,or|voe|ore|roe|rev|over|rove|,or|voe|ore|roe|rev|over|rove|
60,7,376,386,last,as|at|sat|last|lats|alts|slat|salt|,as|at|lat|alt|sat|last|lats|alts|slat|salt|
61,7,420,422,group,rug|pug|our|pour|group|,rug|pug|our|pour|group|
62,7,458,502,begin,beg|big|bin|gen|neg|gin|gibe|begin|being|binge|,beg|big|bin|nib|gen|neg|gin|gibe|begin|being|binge|
63,7,518,778,where,hew|wee|her|whee|were|ewer|here|where|,hew|wee|ewe|her|ere|whee|were|ewer|here|where|
64,7,558,896,every,eve|rev|eye|ever|veer|very|every|,eve|rev|eye|rye|ever|veer|very|every|
65,7,624,952,might,him|git|hit|might|,him|git|hit|might|
66,8,580,916,place,clap|plea|pale|peal|leap|pace|cape|lace|place|,clap|plea|pale|peal|leap|pace|cape|lace|place|
67,8,464,835,large,real|gale|rage|gear|large|lager|regal|glare|,real|earl|gale|rage|gear|large|lager|regal|glare|
68,8,339,851,under,nude|dune|rude|nerd|rend|under|,nude|dune|rune|rude|nerd|rend|under|
69,8,313,932,water,ware|wear|tare|tear|rate|water|,wart|ware|wear|tare|tear|rate|water|
70,8,158,826,write,writ|wire|rite|tire|tier|write|,writ|wire|weir|rite|tire|tier|write|
71,8,181,722,young,you|guy|gun|young|,you|guy|gun|young|
72,8,240,684,month,not|ton|hot|moth|month|,not|ton|hot|moth|month|
73,8,241,594,study,stud|dust|duty|study|dusty|,sty|stud|dust|duty|study|dusty|
74,8,408,474,issue,sue|use|sues|uses|issue|,sis|sue|use|sues|uses|issue|
75,8,588,348,black,balk|back|lack|black|,balk|back|lack|black|
76,8,523,649,since,sin|sec|ice|sine|ices|nice|since|,sin|sic|sec|ice|sine|ices|nice|since|
77,8,394,678,until,nut|nit|tin|unit|lint|until|unlit|,nut|nit|tin|nil|lit|unit|lint|until|unlit|
78,9,197,654,power,pow|pew|owe|woe|row|prow|pore|rope|wore|power|,pow|wop|pro|pew|per|rep|owe|woe|row|ore|roe|prow|pore|rope|wore|power|
79,9,138,737,often,ton|not|one|ten|net|font|tone|note|often|,foe|toe|ton|not|one|eon|fen|ten|net|font|tone|note|often|
80,9,76,820,among,man|ago|nag|moan|among|mango|,man|ago|nag|moan|among|mango|
81,9,149,868,stand,sat|sad|ant|and|sand|stand|,sat|sad|ads|tan|ant|tad|and|tans|ants|sand|stand|
82,9,250,878,white,wit|wet|hit|the|tie|whit|with|whet|white|,hew|wit|wet|hit|hie|the|tie|whit|with|whet|white|
83,9,336,837,watch,caw|act|cat|hat|what|thaw|chat|watch|,caw|haw|cwt|act|cat|hat|what|thaw|chat|watch|
84,9,358,734,allow,all|awl|law|low|owl|wall|allow|,all|awl|law|low|owl|wall|allow|
85,9,377,636,party,part|rapt|trap|pray|arty|tray|party|,part|rapt|tarp|trap|pray|arty|tray|party|
86,9,432,548,early,real|year|rely|early|relay|layer|,earl|real|year|rely|lyre|early|relay|layer|
87,9,626,442,offer,off|for|ore|ref|fore|offer|,off|foe|for|fro|ore|roe|ref|fore|offer|
88,9,662,502,maybe,may|yam|bay|bye|beam|maybe|,may|yam|bay|yea|bye|beam|maybe|
89,9,618,584,music,sum|cum|scum|cums|music|,sum|cum|sic|scum|cums|music|
90,10,452,308,death,had|eat|ate|tea|the|hat|date|head|heat|hate|death|,tad|had|eat|ate|tea|the|hat|date|head|heat|hate|death|hated|
91,10,466,438,major,jam|mar|arm|ram|jar|oar|roam|major|,jam|mar|arm|ram|jar|raj|oar|roam|major|
92,10,438,544,along,lag|ago|nag|log|loan|goal|long|along|,lag|gal|ago|nag|log|loan|gaol|goal|long|along|
93,10,338,580,heart,hear|heat|hate|rate|tear|tare|heart|hater|earth|,hear|hare|heat|hate|hart|rate|tear|tare|heart|hater|earth|
94,10,192,536,price,rip|per|pie|ice|ripe|epic|rice|price|,rip|per|rep|pie|ire|ice|pier|ripe|epic|rice|price|
95,10,338,746,break,bear|bare|bark|beak|bake|rake|break|brake|baker|,brae|bear|bare|bark|beak|bake|rake|break|brake|baker|
96,10,258,820,thank,than|tank|hank|thank|,than|tank|hank|thank|
97,10,142,952,model,mod|old|led|mode|demo|mold|meld|dole|lode|model|,mod|med|elm|ode|doe|old|led|mode|dome|demo|mold|mole|meld|dole|lode|model|
98,10,328,1008,event,eve|vet|net|ten|even|vent|teen|event|,eve|vet|tee|net|ten|even|vent|teen|event|
99,10,412,888,table,abet|beta|beat|tale|late|belt|able|bale|table|bleat|,abet|beta|beat|tale|teal|late|belt|able|bale|table|bleat|
100,10,492,938,court,cut|our|out|rot|tor|rut|curt|rout|tour|court|,cot|cur|cut|our|out|rot|tor|rut|curt|rout|tour|court|
101,10,524,798,image,aim|mag|gem|age|mega|game|image|,aim|mag|gem|age|mega|game|image|
102,10,458,696,phone,hop|pen|hen|one|hope|peon|open|nope|hone|phone|,hop|pen|hon|hoe|hen|one|eon|hope|peon|open|nope|hone|phone|
103,11,250,756,quite,tie|quit|quite|quiet|,tie|quit|quite|quiet|
104,11,176,743,piece,pie|pee|ice|epic|piece|,pie|pee|ice|epic|piece|
105,11,112,770,movie,vim|vie|move|movie|,vim|vie|move|movie|
106,11,107,861,north,nor|not|ton|rot|hot|torn|horn|north|thorn|,nor|not|ton|hon|rot|tor|hot|torn|horn|north|thorn|
107,11,204,914,third,hit|hid|rid|dirt|third|,hit|hid|rid|dirt|third|
108,11,268,888,catch,cat|act|hat|chat|catch|,cat|act|hat|chat|catch|
109,11,274,818,point,pot|opt|top|pin|nip|pit|tip|ion|not|ton|nit|tin|pint|into|point|,pot|opt|top|pin|nip|pit|tip|ion|not|ton|int|nit|tin|pint|into|point|pinto|piton|
110,11,348,655,plant,pan|nap|pat|tap|ant|tan|plan|plat|pant|plant|,pal|lap|alp|pan|nap|pat|apt|tap|lat|alt|ant|tan|plan|plat|pant|plant|
111,11,356,552,floor,for|fool|roof|floor|,for|fro|fool|roof|floor|
112,11,457,461,wrong,row|won|own|now|nor|worn|grow|gown|wrong|grown|,row|won|own|now|nor|worn|grow|gown|wrong|grown|
113,11,491,352,board,rob|bar|bra|bad|boar|bard|drab|road|board|broad|,boa|bro|orb|rob|bod|bar|bra|bad|dab|oar|ado|rod|boar|bard|drab|road|board|broad|
114,11,545,544,fight,fig|fit|git|hit|gift|fight|,fig|fit|git|hit|gift|fight|
115,11,576,644,throw,hot|rot|tow|two|wot|how|who|row|throw|worth|,tho|hot|tor|rot|tow|two|wot|how|who|row|throw|worth|
116,11,630,717,sound,son|sod|sun|duo|nod|don|dun|undo|sound|,sou|son|sod|sun|duo|nod|don|dun|onus|nous|duos|nods|dons|duns|undo|sound|
117,11,541,816,enter,net|ten|teen|rent|tree|enter|,net|ten|tee|rte|ere|teen|tern|rent|tree|enter|
118,12,359,882,stock,sot|cost|sock|stock|,sot|soc|cos|cot|cost|cots|sock|stock|
119,12,265,852,media,dim|mad|dam|aim|die|aid|dime|made|maid|amid|idea|aide|media|,med|mid|dim|mad|dam|aim|die|aid|dime|idem|mead|made|dame|maid|amid|idea|aide|media|aimed|
120,12,160,885,ready,read|dear|dare|year|dray|yard|ready|,read|dear|dare|ayer|year|dray|yard|ready|rayed|
121,12,51,683,argue,rage|gear|urge|argue|auger|,rage|gear|urea|ague|urge|argue|auger|
122,12,136,554,staff,sat|fat|fast|staff|,sat|aft|fat|fast|fats|staff|
123,12,249,599,crime,ice|rim|rice|mice|rime|mire|emir|crime|,ice|rim|ire|rem|rice|mice|rime|mire|emir|crime|
124,12,301,653,laugh,lag|gal|lug|hag|hug|haul|laugh|,lag|gal|lug|hag|ugh|hug|haul|hula|laugh|
125,12,301,537,claim,aim|clam|calm|mail|claim|,cam|ail|lam|aim|clam|calm|mica|mail|claim|
126,12,289,457,legal,leg|gel|ale|lag|all|age|gale|gall|legal|,leg|gel|lea|ale|lag|gal|all|age|gale|gall|legal|
127,12,327,406,final,fin|fan|nil|fail|flan|nail|lain|final|,fin|fan|nil|ail|fail|flan|nail|lain|final|
128,12,397,534,light,lit|gilt|light|,lit|git|hit|gilt|hilt|light|
129,12,451,532,trial,rat|art|air|tail|rail|liar|lair|trial|trail|,tar|rat|art|lit|alt|lat|air|ail|tail|rail|lira|liar|lair|trial|trail|
130,12,497,627,shake,has|ash|she|ask|sea|sake|hake|shake|,has|ash|she|ska|ask|sea|sake|hake|shake|
131,12,577,636,chair,car|arc|air|char|arch|rich|hair|chair|,car|arc|air|char|arch|rich|hair|chair|
132,12,596,579,hotel,hot|the|toe|lot|let|hole|tole|hotel|,hot|tho|hoe|the|toe|lot|tel|let|hole|tole|hotel|
133,12,695,537,heavy,hey|hay|yea|have|yeah|heavy|,hey|hay|aye|yea|have|yeah|heavy|
134,11,250,756,tough,out|got|hot|hut|hog|hug|gout|thug|tough|ought|,out|tog|got|hot|tug|gut|hut|hog|ugh|hug|gout|thou|goth|thug|tough|ought|
135,11,176,743,agent,gate|gnat|tang|neat|gent|agent|,gate|gnat|tang|ante|neat|gent|agent|
136,11,112,770,smile,lie|slim|mile|lime|smile|slime|,ism|elm|lie|slim|semi|elms|isle|lies|mile|lime|smile|slime|miles|limes|
137,11,107,861,front,for|nor|rot|tor|not|ton|fort|font|torn|front|,fro|for|oft|nor|rot|tor|not|ton|fort|font|torn|front|
138,11,204,914,alone,lea|one|loan|lane|lean|lone|alone|,ale|lea|one|eon|loan|aloe|lane|lean|lone|noel|alone|
139,11,268,888,fresh,her|she|serf|hers|fresh|,ref|res|her|she|refs|serf|hers|fresh|
140,11,274,818,troop,rot|too|top|pot|root|port|poor|troop|,tor|rot|too|top|opt|pot|pro|root|port|poor|troop|
141,11,348,655,track,rat|art|act|cat|car|cart|tack|rack|track|,tar|rat|art|act|cat|arc|car|ark|cart|kart|tack|rack|track|
142,11,356,552,plane,plan|pale|peal|leap|pane|lane|lean|plane|panel|penal|,plan|plea|pale|peal|leap|pane|nape|neap|lane|lean|plane|panel|penal|
143,11,457,461,labor,lob|boa|bar|bra|oar|orb|rob|oral|boar|labor|,lab|lob|boa|bar|bra|oar|bro|orb|rob|oral|boar|labor|
144,11,491,352,dozen,don|nod|den|end|one|doze|done|node|zone|dozen|,doz|doe|ode|don|nod|zed|den|end|one|eon|doze|done|node|zone|dozen|zoned|
145,11,545,544,stick,sit|its|ski|tic|kit|skit|sick|tick|stick|,sit|its|sic|sci|ski|tic|cit|kit|tics|skit|kits|sick|tick|stick|ticks|
146,11,576,644,truck,rut|cut|curt|tuck|ruck|truck|,rut|cut|cur|curt|turk|tuck|ruck|truck|
147,11,630,717,shape,hasp|apse|heap|shape|heaps|phase|,hasp|apse|apes|peas|heap|shape|heaps|phase|
148,11,541,816,crowd,cow|cod|row|rod|crow|cord|word|crowd|,cow|cod|doc|row|rod|crow|cord|word|crowd|
149,12,359,882,guard,rug|dug|rag|gad|drug|drag|guard|,rug|dug|rag|gad|drug|grad|drag|guard|
150,12,265,852,marry,mar|arm|ram|may|yam|ray|army|marry|,mar|arm|ram|may|yam|ray|army|marry|
151,12,160,885,below,web|bow|owe|low|owl|lobe|blew|blow|bowl|below|bowel|elbow|,web|lob|bow|owe|woe|low|owl|bole|lobe|blew|blow|bowl|below|bowel|elbow|
152,12,51,683,voter,vet|toe|rot|vote|veto|over|rove|tore|rote|voter|overt|trove|,vet|rev|toe|tor|rot|ore|roe|vote|veto|over|rove|tore|rote|voter|overt|trove|
153,12,136,554,moral,mar|ram|arm|lam|oar|roam|loam|oral|moral|molar|,mar|ram|arm|lam|oar|roam|loam|oral|moral|molar|
154,12,249,599,daily,aid|lad|day|lid|lay|dial|laid|lady|idly|daily|,aid|lad|day|lid|ail|lay|dial|laid|lady|idly|daily|
155,12,301,653,fully,flu|fly|full|fully|,flu|fly|full|fully|
156,12,301,537,clean,can|lace|clan|cane|acne|lean|lane|clean|lance|,can|lea|ale|lace|clan|cane|acne|lean|lane|clean|lance|
157,12,289,457,plate,plat|pale|peal|leap|pate|tape|tale|plate|pleat|petal|,plat|plea|pale|peal|leap|pelt|pate|peat|tape|late|tale|teal|plate|pleat|petal|
158,12,327,406,alive,vial|vale|veal|live|vile|veil|evil|alive|,vial|vale|veal|live|vile|veil|evil|alive|
159,12,397,534,abuse,sea|bus|use|sue|base|abuse|,abs|sea|bus|use|sue|beau|base|abuse|beaus|
160,12,451,532,extra,eat|tea|ate|era|ear|are|tax|rat|art|tear|tare|rate|extra|,eat|tea|ate|era|ear|are|tax|tar|rat|art|tear|tare|rate|extra|
161,12,497,627,urban,run|bun|bra|bar|ran|ban|burn|bran|barn|urban|,rub|bur|urn|run|bun|nub|bra|bar|ran|ban|nab|burn|bran|barn|urban|
162,12,577,636,radio,air|rid|aid|ado|raid|arid|road|radio|,air|oar|rid|rod|aid|ado|raid|arid|road|radio|
163,12,596,579,dream,dear|dare|read|dram|dame|mead|made|ream|mare|dream|,dear|dare|read|dram|dame|mead|made|ream|mare|dream|armed|
164,12,695,537,pound,pod|pun|pond|pound|,pod|pun|nod|don|dun|upon|pond|undo|pound|
165,11,250,756,cause,sac|cue|sec|sea|use|sue|case|cause|sauce|,sac|cue|sec|sea|use|sue|case|aces|cues|cause|sauce|
166,11,176,743,brand,bar|ban|bad|ran|and|bran|barn|bard|drab|band|rand|brand|,bra|bar|ban|nab|bad|dab|ran|and|bran|barn|bard|drab|band|rand|darn|brand|
167,11,112,770,entry,net|ten|yet|try|tern|rent|entry|,net|ten|yen|yet|rye|try|tern|rent|entry|
168,11,107,861,album,lab|lam|bum|lamb|balm|maul|album|,lab|lam|bum|lamb|balm|maul|album|
169,11,204,914,cable,cab|ale|lea|lace|able|bale|cable|,cab|lab|ale|lea|lace|able|bale|cable|
170,11,268,888,flash,ash|has|half|lash|flash|,ash|has|half|lash|flash|
171,11,274,818,super,spur|sure|user|ruse|pure|super|purse|,spur|sure|user|ruse|rues|reps|pure|super|purse|
172,11,348,655,award,war|raw|wad|ward|draw|award|,war|raw|wad|ward|draw|award|
173,11,356,552,input,nip|pin|nit|tin|pit|tip|nut|put|pint|unit|punt|input|,nip|pin|int|nit|tin|pit|tip|pun|nut|put|pint|unit|punt|input|
174,11,457,461,metal,meta|meat|mate|team|melt|meal|male|lame|malt|tale|late|metal|,meta|meat|mate|team|tame|melt|meal|male|lame|malt|teal|tale|late|metal|
175,11,491,352,people,pole|lope|peep|peel|plop|elope|people|,pope|pole|lope|peep|peel|plop|elope|people|
176,11,545,544,should,shod|lush|soul|sold|hold|loud|should|,shod|hods|lush|soul|duos|sold|hold|loud|holds|should|
177,11,576,644,become,comb|come|become|,comb|come|become|
178,11,630,717,really,real|year|rely|yell|ally|relay|early|layer|rally|really|,real|earl|year|rely|lyre|yell|ally|relay|early|layer|rally|alley|really|
179,11,541,816,family,fail|flay|film|mail|filmy|family|,fail|flay|film|mail|filmy|family|
180,12,359,882,number,numb|menu|burn|rune|rube|number|,numb|menu|burn|rune|rube|berm|umber|number|
181,12,265,852,happen,heap|pane|nape|neap|happen|,heap|pane|nape|neap|happen|
182,12,160,885,before,beef|bore|robe|beer|fore|free|reef|before|,beef|bore|robe|beer|fore|free|reef|before|
183,12,51,683,mother,tome|home|more|them|term|tore|rote|hero|metro|therm|other|mother|,moth|mote|tome|home|more|them|term|tore|rote|hero|metro|therm|other|mother|
184,12,136,554,little,tilt|till|tile|tell|title|little|,tilt|lilt|till|lite|tile|tell|title|little|
185,12,249,599,friend,infer|fried|fired|fiend|fined|diner|friend|finder|,finer|infer|fried|fired|fiend|fined|diner|friend|finder|
186,12,301,653,father,fate|feat|fare|fear|hate|heat|tear|rate|hear|after|hater|heart|earth|father|,fate|feat|feta|fart|frat|raft|fare|fear|heft|fret|hate|heat|hart|tare|tear|rate|hare|hear|after|hater|heart|earth|father|
187,12,301,537,member,berm|mere|beer|ember|member|,berm|mere|beer|ember|member|
188,12,289,457,change,ache|each|cane|cage|hang|change|,ache|each|cane|acne|cage|hang|change|
189,12,327,406,minute,mint|mien|mite|item|time|emit|menu|mute|unit|tune|unite|minute|,mint|mine|mien|mite|item|time|emit|menu|mute|unit|tine|tune|unmet|unite|untie|minute|minuet|
190,12,397,534,follow,fool|flow|wolf|woof|wool|follow|,fool|fowl|flow|wolf|woof|wool|follow|
191,12,451,532,create,crate|caret|cater|react|trace|eater|create|,crate|caret|carte|cater|react|trace|erect|eater|create|cetera|
192,12,497,627,health,heal|hale|heat|hate|late|tale|heath|health|,heal|hale|heat|hate|halt|lath|hath|late|teal|tale|lathe|heath|health|
193,12,577,636,within,with|whit|twin|thin|hint|within|,with|whit|twin|thin|hint|within|
194,12,596,579,moment,memo|mote|tome|note|tone|moment|,memo|omen|mote|tome|note|tone|moment|
195,12,695,537,enough,gone|hone|huge|hung|enough|,gone|hone|huge|hung|enough|
196,11,250,756,policy,ploy|copy|clip|coil|oily|cloy|policy|,clop|ploy|copy|clip|coil|oily|cloy|policy|
197,11,176,743,former,form|from|fore|more|former|reform|,form|from|fore|more|former|reform|
198,11,112,770,report,rope|pore|rote|tore|port|poet|trope|retro|report|porter|,rope|pore|pert|rote|tore|port|poet|trope|retro|report|porter|
199,11,107,861,better,beet|beer|tree|beret|better|,beet|beer|tree|beret|better|
200,11,204,914,police,pole|lope|cope|clip|pile|epic|coil|police|,clop|pole|lope|cope|clip|pile|epic|coil|lice|police|
201,11,268,888,player,paler|pearl|reply|payer|repay|layer|early|relay|player|replay|,paler|pearl|reply|payer|repay|layer|early|relay|player|parley|pearly|replay|
202,11,274,818,record,credo|cored|decor|order|record|,corer|credo|cored|decor|order|record|
203,11,348,655,ground,rung|drug|dung|dour|undo|gourd|round|ground|,rung|drug|dung|dour|undo|gourd|round|ground|
204,11,356,552,center,cent|teen|tern|rent|tree|enter|center|recent|,cent|cert|teen|tern|rent|tree|erect|enter|center|recent|
205,11,457,461,figure,frig|fire|rife|urge|grief|figure|,frig|fire|rife|urge|grief|figure|
206,11,491,352,either,tier|tire|hire|thee|tree|here|their|there|three|either|,tier|tire|rite|heir|hire|thee|tree|here|their|ether|there|three|either|
207,11,545,544,doctor,cord|trod|door|coot|root|doctor|,cord|trod|door|odor|rood|coot|root|doctor|
208,11,576,644,decide,died|deed|diced|ceded|decide|,dice|iced|cede|died|deed|diced|ceded|decide|
209,11,630,717,window,wind|down|widow|window|,wind|wino|down|widow|window|
210,11,541,816,energy,gene|genre|green|energy|,gene|genre|green|energy|
211,12,359,882,anyone,none|neon|annoy|anyone|,anon|none|neon|annoy|anyone|
212,12,265,852,author,auto|hart|rota|hurt|tour|rout|hour|author|,auto|oath|hart|rota|hoar|thou|hurt|tour|rout|hour|author|
213,12,160,885,agency,cage|acne|cane|cyan|cagey|agency|,cage|yang|acne|cane|cyan|cagey|agency|
214,12,51,683,factor,fact|frat|raft|fort|coat|cart|rota|craft|actor|factor|,fact|fart|frat|raft|afro|fort|coat|taco|cart|rota|facto|craft|croft|actor|factor|
215,12,136,554,beyond,obey|bone|bend|body|bond|deny|node|done|beyond|,obey|bone|bode|bend|bony|body|bond|deny|node|done|ebony|boned|doyen|beyond|
216,12,249,599,amount,moan|atom|moat|auto|aunt|tuna|mount|amount|,moan|atom|moat|auto|aunt|tuna|unto|mount|amount|
217,12,301,653,career,care|acre|race|rare|rear|carer|racer|career|,care|acre|race|rare|rear|carer|racer|career|
218,12,301,537,degree,edge|deer|reed|greed|degree|,edge|deer|reed|greed|degree|
219,12,289,457,region,rein|ring|grin|iron|gone|reign|goner|groin|region|ignore|,ergo|gore|goer|ogre|rein|ring|grin|iron|gone|reign|goner|groin|region|ignore|
220,12,327,406,arrive,rare|rear|rave|raver|river|arrive|,rare|rear|aver|rave|airer|raver|river|arrive|
221,12,397,534,expert,peer|pert|tree|exert|expert|,peer|pert|tree|exert|peter|expert|
222,12,451,532,weapon,wean|wane|pawn|pane|neap|nape|peon|open|nope|weapon|,wean|wane|anew|pawn|pane|neap|nape|peon|open|nope|weapon|
223,12,497,627,manage,mane|mean|amen|name|mega|game|manage|,mane|mean|amen|name|mega|game|mange|manage|
224,12,577,636,camera,came|mace|cram|care|race|mare|ream|area|cream|camera|,came|acme|mace|cram|care|acre|race|mare|ream|area|cream|camera|
225,12,596,579,weight,whet|twig|with|whit|weigh|white|eight|weight|,whet|whig|twig|with|whit|weigh|white|eight|weight|
226,12,695,537,affect,face|fate|feat|fact|facet|affect|,face|fate|feat|feta|fact|facet|affect|
227,11,250,756,writer,writ|wire|rite|tire|tier|write|trier|writer|,writ|wire|weir|rite|tire|tier|write|trier|writer|
228,11,176,743,cancer,cane|acne|care|race|near|earn|crane|cancer|,cane|acne|narc|care|acre|race|near|earn|crane|cancer|
229,11,112,770,finger,fine|fire|grin|ring|rein|feign|grief|reign|finger|fringe|,fine|frig|fire|rife|fern|grin|ring|rein|feign|finer|infer|grief|reign|finger|fringe|
230,11,107,861,garden,grade|grand|anger|range|garden|gander|danger|,grade|raged|grand|anger|range|garden|gander|ranged|danger|
231,11,204,914,notice,into|note|tone|icon|coin|once|cone|cent|nice|notice|,into|cont|note|tone|icon|coin|once|cone|econ|tine|cent|nice|cine|cite|tonic|notice|
232,11,268,888,budget,tube|debt|budge|debug|debut|budget|,tube|debt|duet|budge|debug|debut|budget|
233,11,274,818,travel,avert|alter|alert|later|valet|travel|,avert|alter|alert|later|valet|velar|travel|varlet|
234,11,348,655,option,into|onto|pint|point|option|potion|,into|onto|pint|point|piton|pinto|option|potion|
235,11,356,552,recall,race|care|real|lace|cell|call|clear|recall|cellar|caller|,race|care|acre|real|earl|lace|cell|call|clear|recall|cellar|caller|
236,11,457,461,income,icon|coin|nice|mine|mice|cone|once|come|mince|income|,icon|coin|nice|cine|omni|mine|mien|mice|cone|once|omen|come|mince|income|
237,11,491,352,attend,teat|ante|neat|date|dean|tent|tend|dent|attend|,teat|ante|neat|date|dean|tent|nett|tend|dent|attend|
238,11,545,544,battle,beat|bale|able|belt|teat|tale|late|table|battle|tablet|,beat|beta|abet|bale|able|belt|teat|tale|teal|late|bleat|table|latte|battle|tablet|
239,11,576,644,define,fend|feed|dine|need|find|fine|fiend|define|,fend|feed|dine|need|find|fine|fiend|fined|define|
240,11,630,717,normal,norm|roan|moan|loan|roam|oral|manor|moral|normal|,norm|morn|roan|moan|loan|roam|oral|loam|manor|moral|molar|normal|
241,11,541,816,handle,hand|head|heal|held|land|lane|lean|deal|lead|lend|laden|handle|,hand|head|hale|heal|held|land|dean|lane|lean|dale|deal|lead|lend|laden|handle|
242,12,359,882,return,true|rent|runt|turn|tune|tuner|rerun|return|,true|rent|tern|rune|runt|turn|tune|truer|tuner|rerun|return|turner|
